comments,cleaned_comments
"😂😂😂😂😂😂😂😂😂 BUKAN DEMOKRASI INIIII MAH....DEMDUL...DEMOKRASI AMBURADUL....KAYA REZIM ZONGKOWIIII INIIIII  😂😂😂😂😂😂😂😂....KERAJAAAN AKAAAAAA LAH BUNG..,..😂😂😂😂😂",demokrasi iniiii mahdemduldemokrasi amburadulkaya rezim zongkowiiii iniiiii kerajaaan akaaaaaa
Presiden dan pemerintah tidak mau di kritik,presiden perintah kritik
apaapaan ini,apaapaan
Astaghfirullah,astaghfirullah
Pantas makin intens rakyat kritik pemerintahan Prabowo,intens rakyat kritik perintah prabowo
Klo mereka masih berkelakuan kayak setan ya sudah benar klo disebut setan oleh rakyat,klo laku setan klo setan rakyat
"Yang di tuntut Rakyat adalah ""UU Perampasan Asset"" kok malah yg di buat yang di harapkan...? aneeh...?",tuntut rakyat ampas asset harap aneeh
presiden sudah mempelajari belum  atau hanya tanda tangan,presiden ajar tanda tangan
Hukum seberat-beratnya para koruptor dan sita aset merugikan negara dan rakyat,hukum seberatberatnya koruptor sita aset rugi negara rakyat
Cuma di terapkan  doang tdk di.laksanakan percuma,terap doang tdk laksana
Blessing,blessing
UU perampasan aset mana. Yg ada UU nekan rakyat,ampas aset nekan rakyat
"Begitu cepatnya buat kuhap kurap disahkan tapi perampasan aset si koruptor mutar"" kayak gasing yg tak ada awal dan ujungnya.",cepat hap kurap sah ampas aset koruptor mutar gasing ujung
Kalau pejabat itu menipu  rakyat dengan ijazah palsu misal nya .... Korupsi  semena mena dengan rakyat kecil. Apa kah kami berhak melawan...,jabat tipu rakyat ijazah palsu korupsi semena mena rakyat kah hak lawan
Eh..malah KUHP permapadan dan pemiskinan para koruptor yang digaungkan rakyat malah ambles...gimana iniiiiiii penguasa sudah keblinger,ehmalah kuhp permapadan miskin koruptor gaung rakyat amblesgimana iniiiiiii kuasa keblinger
KUHP s makin Ndak jelas dan menindas para pengunjuk rasa ketidak becusan pemerintah....masak kritik dianggap penghinaan nanti jadinya...aduh bisa tambah gawat nich,kuhp ndak tindas unjuk tidak becus pemerintahmasak kritik anggap hina jadinyaaduh gawat nich
Kita harus berpikir rasional ada orang demo yg menghancurkan rputasi seseorang demi tujuan yg memanfaatkan masa bahkan menjelekan aparat presiden,pikir rasional orang demo hancur rputasi tuju manfaat jelek aparat presiden
Difinisi penghinaan KPD presiden n pejabat negara itu spa yah ❤,fisi hina kpd presiden jabat negara spa
"Kno hukuman Mati utk yg korupsi tidak di sah kan ??
Pasal lain buat masyrakat cepat disah kan.
Ini berat sebelah utk rakyat.",kno hukum mati utk korupsi sah pasal masyrakat cepat sah berat belah utk rakyat
Kalo sah yg setuju gue bunuh satu2,sah tuju gue bunuh
"Presiden sih gpp kalau pemerintah nggak mau dihina ya kerjanya jgn korupsi dong dam memihak ke rakyat
Harusnya undang2 perampasan Aset bagi koruptoryg disahkan
Jika Presiden semena 2 ke Rakyat dg KUHAP nya tinggal nunggu waktu Rakyat akan melawan balik",presiden gpp perintah nggak hina kerja jgn korupsi dam rakyat undang ampas aset koruptoryg sah presiden semena rakyat hap tinggal nunggu rakyat lawan
Waduuh asal persetubuhan lokalisasi kena donk ???? 😂😂😂😂,waduuh tubuh lokalisasi kena donk
UU HUKUMAN MATI BAGI KORUPTOR DAN PERAMPASAN HARTA DISAHKAN BARU ANGKAT 5  JEMPOL,hukum mati koruptor ampas harta sah angkat jempol
Pasal yg lebih patal merugikan negara ruu perampasan aset kok gak di sahkan.😪,pasal patal rugi negara ruu ampas aset sahkan
Ya ini hasil yah yg memilih berdasarkan serangn fajar dulu..,hasil pilih dasar serangn fajar
Hal. Ini harus disosialisasikan kpda masyarakat seluduhnya jngan hbya jdi konsumsi dan pjabat saja kuhp ini di informasikan biar rakyat tau  semmua sebarkan edaran leaflet buku unguk semua lapisan masyarakat sekolah universitas dan fasilitas umum lainya bandara dumah sakit tempat ibadah bioskop mall super market intansi pmeeintah jngan pelit kluarkan dananya untuk sosislisasinya,sosialisasi kpda masyarakat seluduhnya jngan hbya jdi konsumsi pjabat kuhp informasi biar rakyat tau semmua sebar edar leaflet buku unguk lapis masyarakat sekolah universitas fasilitas lai bandara dumah sakit ibadah bioskop mall super market intansi pmeeintah jngan pelit kluarkan dana sosislisasinya
Koropsi dn oligarki bebas di negeri ini,koropsi oligarki bebas negeri
Bubarkan dpr dn pulisi bikin pulisi kerja kontrak aja biar beban rakyat berkurang .banyak nya uu bikin kaya pulisi di setiap kasus pulisi banjir uang masuk kantong pribadi,bubar dpr pulisi pulisi kerja kontrak biar beban rakyat kurang kaya pulisi pulisi banjir uang masuk kantong pribadi
"DPR SEMENA-MENA bukan fokus pada kualitas rekurmen, dan regulasi aturan satu keluarga tidak boleh duduk di satu instansi Lembaga pemerintahan, malah rakyat terus yang ditekan. 

Pemerintahan tinggal tunggu jatuhnya, entah karena desakan masa, atau kegagalan ekonomi.
🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻",dpr semenamena fokus kualitas rekurmen regulasi atur keluarga duduk instansi lembaga perintah rakyat tekan perintah tinggal tunggu jatuh desa gagal ekonomi
"Ini NEGARA demokrasi ,bebas mengkritik pemerintah,kok malah dibungkam Deng UUD.kayaknya Indonesia bubar ,berkeping-keping.kalau dilawan .Indonesia bubar.karena bukan lagi negara demokrasi..sedangkan rakyat butuh negara demokrasi",negara demokrasi bebas kritik pemerintahkok bungkam deng uudkayaknya indonesia bubar berkepingkepingkalau lawan indonesia bubarkarena negara demokrasisedangkan rakyat butuh negara demokrasi
"yg saya setuju . ada sex di luar nikah ada hukumnya. biat kasus perselingkuhan beraqir pembunuhan dll ada rem nya.. mikir 2 x, dan para remaja bisa mengurangi kebiasaan sex bebas. ZINA",tuju sex nikah hukum biat selingkuh beraqir bunuh dll rem mikir remaja kurang biasa sex bebas zina
Orde baru kembali berkuasa ..hukum hanya buat rakyat kecil ..pejabat bebas melanggar hukum,orde kuasa hukum rakyat jabat bebas langgar hukum
"SETUJU BANGET
KUHP CERDAS ,DEMI STABILITAS NEGARA.",tuju kuhp cerdas stabilitas negara
Kok bisa mulut rakyatnya di bekap... parah negeri ini,mulut rakyat bekap parah negeri
Uud yg hrs cpt d sahkan uud perampasan aset korutor itu br uud yg bs secara nasional d trima krn itu harapan rkyt seluruh indonesia,uud hrs cpt sahkan uud ampas aset korutor uud nasional trima krn harap rkyt indonesia
Uud ini ngaco klo menghina itu kpd sp sj ttp tdk baik tdk ad bd nya rkyt dan pejabat klo d hina krn manusia itu sm d hadapan tuhan nya berdiri sm tggi duduk sm rendah nya tdk bs d bd kan pjbt dan rkyt klo d hina ttp sj itu namanya pitnah klo pejabat hrs d kritik o ad uud ini nanti kritikan bs d anggap penghinaan bahaya uud ini bs bnyk yg d penjara,uud ngaco klo hina kpd ttp tdk tdk rkyt jabat klo hina krn manusia hadap tuhan diri tggi duduk rendah tdk pjbt rkyt klo hina ttp nama pitnah klo jabat hrs kritik uud kritik anggap hina bahaya uud bnyk penjara
Waa....kok undang undang ditujukan untuk Rakyat bawa saja... Ini tidak adil... Mereka harus sadar bahwa negara yang di amanahkan oleh Para pejuang pendiri bangsa ini ditujukan untuk keadilan sosial bagi seluruh rakyat Indonesia sebagai pemilik Negara sesuai      Pancasila dan UUD 45 yang asli...bukan untuk membelenggu rakyat dengan banyaknya aturan ....🤷❤️🇮🇩,waakok undang undang rakyat bawa adil sadar negara amanah juang diri bangsa adil sosial rakyat indonesia milik negara sesuai pancasila uud aslibukan belenggu rakyat banyak atur
Penjajahani kata uu harus di hapuskan berarti boleh menghapus penjajahan,penjajahani hapus hapus jajah
Bahas dong..klu korupsi 500 juta hukuman nya berapa.. klu 1M berapa hukumannya 😮,bahas dongklu korupsi juta hukum klu hukum
SBY OTAK PELAKU YNG MENDANAI DAN MENERIMA SELURUH MAFIA KORUPTOR PROYEK HAMBALANG BLBI IKTP LAPANGAN TERBANG ILEGAL DLL HARUS DI SITA SELURUH HARTANYA DAN HUKUMAN MATI SEBAGAI SIMBOL TEGAKNYA HUKUM DI NKRI,sby otak laku yng dana terima mafia koruptor proyek hambalang blbi iktp lapang terbang ilegal dll sita harta hukum mati simbol tegak hukum nkri
MAFIA KORUPTOR YNG MERAJA LELA DI SELURUH SEKTOR PEMERINTAH DAN SWASTA DAN PENDATANG HARAM YAHUDI HADRAMAUT YAMAN SELATAN YNG BERTOPENGKAN AGAMA ISLAM YNG DI SESATKAN DAN CUCU NABI PALSU YNG SUDAH MENYUSUP KASUK KE PBNU MENUJU NKRI BUBAR  HARUS LEBIH LICIK LEBIH BUSUK LEBIH BANGSAT DARI PENJAJAH .MENUJU NKRI BUBAR. JELAS SEKALI,mafia koruptor yng raja lela sektor perintah swasta datang haram yahudi hadramaut yaman selatan yng topeng agama islam yng sesat cucu nabi palsu yng susup kasuk pbnu nkri bubar licik busuk bangsat jajah nkri bubar
Meheningkan cipta😢,meheningkan cipta
Intinya kita dibungkam oleh pemerintah .rakyat tidak boleh mengkritisi pejabat atau pemerintahan,inti bungkam perintah rakyat kritisi jabat perintah
Pusing kenapa ketua DPR tidak segera sahkan UU perampasan aset aset koruptor.....,pusing ketua dpr sahkan ampas aset aset koruptor
Undang undang untuk rakyat aja cepat...UU untuk koruptor mana...?apa pemerintah menunggu rakyat buat hukum sendiri juga!,undang undang rakyat cepatuu koruptor manaapa perintah tunggu rakyat hukum
Bismillah saja dlu... Siapa tau NERAKA LUAS buat Pemerintah Indonesia,bismillah dlu tau neraka luas perintah indonesia
Hukum indonesia tambah parah.untung aku emggak nyoblos .,hukum indonesia parahuntung emggak nyoblos
Payah payah hukum indonesia,payah payah hukum indonesia
"Yang paling dipandang tidak masuk akal oleh banyak pihak adalah:
✔️ Negara ikut mengatur moral pribadi (hubungan intim, hidup bersama)
✔️ Pembatasan hak berekspresi (penghinaan pejabat, demo)
✔️ Batasan edukasi kesehatan (pencegah kehamilan/anak)
✔️ Pengurangan ancaman hukum terhadap koruptor
Semua ini dianggap berpotensi merusak kebebasan sipil, privasi, dan penegakan keadilan jika tidak diawasi ketat.",pandang masuk akal negara atur moral pribadi hubung intim hidup batas hak ekspres hina jabat demo batas edukasi sehat cegah kehamilananak kurang ancam hukum koruptor anggap potensi rusak bebas sipil privasi tega adil awas ketat
Se7 biar indonesia aman dan tenteram,biar indonesia aman tenteram
Pemilu tahun mendatang serntak GOLPUT ..negeri kita ruwet kbnyakan aturan...??jngn mau lgi rakyat di bodoh.i..partai apapun.....,milu serntak golput negeri ruwet kbnyakan aturanjngn lgi rakyat bodohipartai apa
"Segera kan kiamat ya allah... 
Negara ini.... 
Tidak ada harapan lagi",kiamat allah negara harap
"ini jelas UU untuk membungkam suara rakyat dan mengamankan aksi kejahatan pejabat. 
Sebelum ada UU ini saja PENJAHAT2 berdasi gak ada rasa malu dan takut dg kelakuan busuknya. 
Seakan perampok dibekali oleh negara dg rompi anti peluru. 
UU ini hanya akan membuat Negara ini semakin memburuk",bungkam suara rakyat aman aksi jahat jabat jahat das malu takut laku busuk akan rampok bekal negara rompi anti peluru negara buruk
"Kapan pemilihan anggota DPR,  rakyat Indonesia jangan lupa memilih atau tidak",pilih anggota dpr rakyat indonesia lupa pilih
Pas cocok,pas cocok
Kaum gruduk ... Kena Uut ga tuh wkwkwkwkw,kaum gruduk kena uut wkwkwkwkw
Bukan nya buat aturan yg bnr ni nyari aman salut ... Ini contoh penguasa udh mulai unjuk gigi bahwa mereka yg berkuasa .. mereka lupa waktu mau jdi pejabat .. nyubah ke rakyat .. giliran udh jdi rakyat di injak injak,atur bnr nyari aman salut contoh kuasa unjuk gigi kuasa lupa jdi jabat nyubah rakyat gilir jdi rakyat injak injak
Pemerintah cari aman kampret .. seenak jidat nya ngeluarin aturan ..kayex nya perlu di kasih paham lagi ni sama masarakat nya pemerintah ...,perintah cari aman kampret enak jidat ngeluarin atur kayex kasih paham masarakat perintah
Rakyat Indonesia tetap miskin selamanya jika koruptor di bisa berantas,rakyat indonesia miskin koruptor berantas
Yang di inginkan rakyat cuma satu UUD  hukuman mati bagi para koruptor,rakyat uud hukum mati koruptor
"Ini sistem Demokrasi bukan sistem komunis,jangan jadi PKI ke 2 Rakyat juga bisa marah, kau kira teman - teman kami yang ditangkap karena demo kemarin penjahat? Bagi kami justru mereka Pahlawan Demokrasi",sistem demokrasi sistem komunisjangan pki rakyat marah kau teman teman tangkap demo kemarin jahat pahlawan demokrasi
Hukum ngk jelas,hukum ngk
"Buat uu receh kayak Gini cepat.buat uu HUKM mati koruptor perampasan aset TDK di buat""",receh gin cepatbuat hukm mati koruptor ampas aset tdk
Ini baru bagus 👍,bagus
Rakyat mana rakyat tambah menderita terus menerus.uu perampasan aset hukuman mati bagi para koruptor tidak disah2kan jg,rakyat rakyat derita menerusuu ampas aset hukum mati koruptor sah
Fokus membangun,fokus bangun
Hukuman perampasan aset dan mati mereka rakut untuk mensahkannya,hukum ampas aset mati rakut sah
Tak terima di kritik rakyat maka rakyat boikot utk bayar pajak,terima kritik rakyat rakyat boikot utk bayar pajak
"Puluhan tahun rakyat di hina dgn korupsi, emang se suci itu hukum kalian?

Suatu saat rakyat, bumi, dan tuhan yg akan memberikan panduan pembersihan terhadap kalian2 bangsa parasit.

Kmaren baru sumatra di beri cobaan, skala masih kecil, bagi tuhan, besok bisa2 seluruh pulau di beri cobaan karna ulah bangsa yg dzolim😊",puluh rakyat hina dgn korupsi suci hukum rakyat bumi tuhan pandu bersih bangsa parasit kmaren sumatra coba skala tuhan besok pulau coba ulah bangsa dzolim
"Nikmatin saja,kan hasil pilihan kaliyan saat pemilu,gak usah banyak ngeluh",nikmatin saja hasil pilih kaliyan pemilugak ngeluh
"Penjarakan aja semua kami yg suka mengkritik pemerintaj,biar senang kalian.. 
Bila perlu, termpatkan kami di suatu pulau, terus kalian minta saja bom nuklir sama om putin, kalian tembak kan saja nuklir itu ketempat di mana kami kumpul para penglritik pejabat negara.. 
Capek kali kalian kerja nya hanya rombak2 KUHP.. 
Biar senang kalian semua sesama pengkhianat.",penjara suka kritik pemerintajbiar senang termpatkan pulau bom nuklir putin tembak nuklir tempat kumpul penglritik jabat negara capek kerja rombak kuhp biar senang khianat
Saya berharap indonesia akan seperti nepal. Ayo kapan demo,harap indonesia nepal ayo demo
"Ini Baru hebat,,,",hebat
Makin gila aja ni pemerintah.NEPALKAN,gila pemerintahnepalkan
Mantap 🎉🎉🎉,mantap
"Kaya hidup di jaman Kerajaan, diktator, DAN LAMA2 NANTI AKAN MELAHIRKAN OPOSISI BERSEJATA",kaya hidup jaman raja diktator lahir oposisi bersejata
DPR keparat,dpr keparat
Hukum dinegara ini makin kesini makin mirip hukum negara komunis.,hukum negara kesini hukum negara komunis
Trus koruptor kpn di syahkan hukum mati pokoknya kita warga kecil di tindes trus mn hukum pjbt2 GK adil,trus koruptor kpn syah hukum mati pokok warga tindes trus hukum pjbt adil
🤣🤣 stressssss sudah pasal²  ini🤦‍♂️  perzinahan penghuni neraka jadi sepi pak🤣,stressssss pasal perzinahan huni neraka sepi
Demokrasi di batasi model opo Iki negoro,demokrasi batas model opo iki negoro
"gaono seng penting kanggo rakyat
uu untuk pemerintah saja",gaono seng kanggo rakyat perintah
Kemanusian rakyat udah dianggap sampah tak berguna,kemanusian rakyat anggap sampah guna
Rakyat sudah di berakin dengan ada nya ini,rakyat berakin
"Parah ini, rakyat yg minta keadilan, bisa bisa nya rakyat yg di adili... Ya... Robbi... Musnah kan lah kezholiman di negri ini ya Robbi.... aamiin...",parah rakyat adil rakyat adil robbi musnah kezholiman negri robbi aamiin
Kok Indonesia diginiin mereka rakyat dianggap apa oleh dpr mereka sepertinya maksa rakyat menetapkan mereka  klo gak negara ni mereka jadi kan kayak Nepal ya pak parbowo anda knp kok menyerang rakyat untuk gamblang menyampaikan suara anda bungkam rakyat kali ini pak taubat percaya sama anda rusak sudah semua kepercayaan,indonesia diginiin rakyat anggap dpr maksa rakyat tetap klo negara nepal parbowo knp serang rakyat gamblang suara bungkam rakyat taubat percaya rusak percaya
Kasus yang ringan malahan cepat disahkan...bagian koruptor boro2 di sahkan😂,ringan cepat disahkanbagian koruptor boro sahkan
"Itumah perisai buat para pejabat......
Biar engga di usik",itumah perisai jabat biar usik
Kalau para koruptor bagaimana,koruptor
Tunggu.sa.atmu.di.nepalkan,tunggusaatmudinepalkan
Udang2 perampasan aset mn PK Prabowo mn janji mu jgn berpura2 lupa y giliran masyarakat udang2 cepat masyaallah bgt bejat y kaluan jd pemimpin ygilih kaluan tu masyarakat yg paling kecil kompateh kaluan datangi berikan janji yg indah muluk2hebat EMG indo esia,udang ampas aset prabowo janji jgn pura lupa gilir masyarakat udang cepat masyaallah bejat kaluan pimpin ygilih kaluan masyarakat kompateh kaluan datang janji indah mulukhebat emg indo esia
Setuju biar tau sopan santun,tuju biar tau sopan santun
Kl masyarakat salah cepat ditangkapin aj PK kl korupsi dilindungi bahkan dibebaskan Krn udh berjasa PD negara yg digarong y SMG masyarakat cepat mati smua SMG penegak hukum cepat menangkap org kecil org besar   dilindungi,masyarakat salah cepat ditangkapin korupsi lindung bebas krn jasa negara garong smg masyarakat cepat mati smua smg tegak hukum cepat tangkap org org lindung
Fufufafa bener kn..,fufufafa bener
"kuhp ini hanya melindungi , instansi dan orang tertentu , tidak berpihak ke masyarakat kecil .",kuhp lindung instansi orang pihak masyarakat
Awal tahun yg nurukk,nurukk
Udah tak ada guna nya uud itu untiuk rakyat. Itu semua uud untuk pemerinth agar kebal hukum. Mari semua rakyat kita kembali ke 98. Aja.,uud untiuk rakyat uud pemerinth kebal hukum mari rakyat
Seharusnya di terapkan hukuman mati untk para koruptor.,terap hukum mati untk koruptor
Cepet banget klo bikin undang2 terhadap rakyat...tp undang2 terhadap pajabat plempem gak di bahas...coba klo bahas kenaikan anggaran gaji pasti satu malam selesai....mereka msyoritas beragama tp gak takut sama Tuhanya,cepet klo undang rakyattp undang pajabat plempem bahascoba klo bahas naik anggar gaji malam selesaimereka msyoritas agama takut tuhanya
UU Perampasan aset wuy,ampas aset wuy
DPR di kasih napas malah ngelunjak.,dpr kasih napas ngelunjak
Sebentar lagi bocah lapar ga boleh nangis. Namanya bocah ya yg paling penting kebutuhannya dong.,sebentar bocah lapar nang nama bocah butuh
Peodalisme,peodalisme
"Tangkap roy suryo,dr tipa,rismon",tangkap roy suryodr tiparismon
"Wadaw KUHP isinya perlindungan untuk pemerintahan saja ya,untuk penyitaan aset juga hukuman buat para koruptor mana ya 🤣🤣🤣🤣🤣🤣🤣😁😁😁🤭🤭🤭",wadaw kuhp isi lindung perintah yauntuk sita aset hukum koruptor
Walaupun belum tau isinya psal demi pasal  yg pasti  tuk mengamankan  pra pejabat dari keserakahan hidupnya  dengan mudah  menindas rakyat dg mengatas namakan hukum dn keadilan,tau isi psal pasal tuk aman pra jabat serakah hidup mudah tindas rakyat atas nama hukum adil
Cari aman😮,cari aman
Perang deui wae nyeleu kiye mahhh...!!!??🙄🙄,perang deui wae nyeleu kiye mahhh
Penjara akan di penuhi orang yg kritis kepada pemerintah .,penjara penuh orang kritis perintah
"benerkan kata abah Anies..
Diktaktor 😂. ok gass ok gass ok gass. 
kasian Pendukung nya. jangan nyesel dong 😂",benerkan abah anies diktaktor gass gass gass kasi dukung nyesel
apakah ini korea utara?😂,korea utara
Sy mah org awam bagus lah biar ga ada yang menghina kepala negara,mah org awam bagus biar hina kepala negara
"Mana gen z indonesia saat ini,,,",gen indonesia
"Pasal bulsit semua,,,😂😂😂😂,rakyat semakin di tekan dgn pasal ngak jelas,pasal perampasan  aset hilang tak terurus,,,",pasal bulsit semuarakyat tekan dgn pasal ngak jelaspasal ampas aset hilang urus
"KUHP NGUMPULIN PARA PIDANA, PRIBUMI /RAKYAT MUAAK DENGAN KUHP ITU.",kuhp ngumpulin pidana pribumi rakyat muaak kuhp
RUU KUHAP untuk pejabat sudah ada atau belum ya?,ruu hap jabat
"Pribumi/Rakyat butuh  UU perampasan  Aset negara bukan ngumpulin para pidana ,",pribumirakyat butuh ampas aset negara ngumpulin pidana
UU kyk masa orba bapak mertua ndak mau dihina 😅😅,orba mertua ndak hina
Rakyat harus menerapkan pasal hukum rimba...buat para penjilat negara...hukum hukum dan pasal hanya untuk membela perut nya pemerintah z,rakyat terap pasal hukum rimbabuat jilat negarahukum hukum pasal bela perut perintah
"Kita harus menggunakan lawan kata agar tidak kelihatan penghinaan, rakyatpun paham jurus lawan kata.",lawan hina rakyat paham jurus lawan
Mana UUD perampasan aset bagi KORUPTOR!!,uud ampas aset koruptor
Apa2 mahal kerja sehari tdk cukup untuk sehari   .,mahal kerja hari tdk hari
Kaanya akan ada badai besar niij,kaanya badai niij
Dg KUHP yg baru berarti tindakan apapun yg dilakun presiden dan lembaga negara adl sama dg malaikat yg tdk ada salahnya walau membuat rakyat memderita dan sengsara,kuhp tindak apa dilakun presiden lembaga negara adl malaikat tdk salah rakyat memderita sengsara
yg bikin undang2 sekarep dewek bae siapa yg bikinya,undang sekarep dewek bae bik
"Ayok kita turun ke jalan,kita kasih tau pemerintah Konoha kalau masyarakat dah marah",ayok turun jalankita kasih tau perintah konoha masyarakat marah
Uu hukuman mati bagi koruptor kenapa tidak disahkan,hukum mati koruptor sah
"Undang 2 piraun sudah jalan , tapi undang undang korupsi di diamkan udah Salim",undang piraun jalan undang undang korupsi diam salim
UU PERAMPASAN ASET KEMANA GK TERCANTUM??,ampas aset mana cantum
"Pemerintah bisanya me nakut2in Rakyat , bukan mensekahterakan Rakyat .
Bkn UU yg si syahkan tapi Aqlak para pejabat perbaiki dulu biar Rakyat mengikutinya dengan ikhlas .",perintah bisa nakutin rakyat mensekahterakan rakyat bkn syah aqlak jabat baik biar rakyat ikut ikhlas
"😂😂😂😂
Kok gak ada KUHP PERAMPASAN ASET bagi KORUPTOR.
Hanya RAKYAT kecil yg akan jadi sasaran",kuhp ampas aset koruptor rakyat sasar
"Pasal 301 Itu pidananya hanya yg berkaitan dg pasal 300 tentang penghasutan terkait agama/kepercayaan.., jadi bukan secara umum juga broo.., Baca baik2 dulu pasalnya mas penyiar 🙏",pasal pidana kait pasal hasut kait agamakepercayaan broo baca pasal siar
"balik lg kejaman baheula, jadul cuy",kejam baheula jadul cuy
Mending bgus jmne PK SBY jauhhhhhh😂😂😂😂😂,mending bgus jmne sby jauhhhhhh
"suruh diam aj, ga boleh kritik, tidur aj yg tenang sampai mati",suruh diam kritik tidur tenang mati
Kenapa pasal perampasam aset tdk kunjung di sahkan semakin kesini negara kok otoriter,pasal perampasam aset tdk kunjung sahkan kesini negara otoriter
tangkap slank si sipit bimbim dan kk juga si gundul dongok panji ....penjarakan!!,tangkap slank sipit bimbim gundul dongok panji penjara
"Memang udang2 seperti ini harus di sahkan,dgn SDM rata2 rakyat indo yg minim,dgn begini biyar mulut2 rakyat indo sedikit tersekolahkan",udang sahkandgn sdm rakyat indo minimdgn biyar mulut rakyat indo sekolah
Tak ada pejabat apa pun itu hanya bajingan semua itu meresa kan masarakat aja tunggu aja tgl main ya pejabat,jabat bajing resa masarakat tunggu tgl main jabat
Kapan kita nepalkan Indonesia,nepalkan indonesia
Kok kuhap nya lebih berpihak ke pejabat ketimbang ke rakyat enak nya jadi pejabat di negeri ini selalu di lindungi  kuhap sedangkan masyakat secara tidak langsung di bungkam.,hap pihak jabat ketimbang rakyat enak jabat negeri lindung hap masyakat langsung bungkam
Nepal contoh yang baik sekarang. Untuk melengserkan pejabat koruptor. Jika semua masyarakat kompak maka undang2 ini tidak akan berlaku. Maju saatnya masyarakat sendiri yang menentukan arah dan tujuan negara ini gimana 💪💪💪,nepal contoh lengser jabat koruptor masyarakat kompak undang laku maju masyarakat tentu arah tuju negara gimana
RUU perampasan aset kenapa tidak di sahkan kenapa ?,ruu ampas aset sahkan
Aku setuju' KUHP ini di terapkan,tuju kuhp terap
Aku setuju jika KUHAP ini berlaku di Indonesia,tuju hap laku indonesia
Satu lagi pasal omon-omon antartika,pasal omonomon antartika
"yg buat uu ini untuk kepentingan mereka sendiri, rakyat tanpa pejabat, dpr, pemerintah, msh ttp hidup
mereka lupa bahwa mereka hanyalah pelayan rakyat, tapi mereka seperti penguasa abadi",penting rakyat jabat dpr perintah msh ttp hidup lupa layan rakyat kuasa abadi
ok gas ok gas,gas gas
Gw mah setuju karna sangat miris jika pemimpin di ejek atau di jelek2kan mantap,mah tuju miris pimpin ejek jelek mantap
Pasal yang bikin rakyat semakin kejepit GK bisa bersuara ini membunuh demokrasi,pasal rakyat jepit suara bunuh demokrasi
Setuju banget karena di Indonesia yg ga senang pada pemerintah atau mantan pejabat terang terangan ga ada Aqlak ❤ berarti KUHAP merombak total mental jahiliah yg meresahkan 😂,tuju indonesia senang perintah mantan jabat terang terang aqlak hap rombak total mental jahiliah resah
"Bikin kuhap abal2. 
Membungkam apresiasi rakyat.",hap abal bungkam apresiasi rakyat
Yaalah bersatu lah rakyat masarakat bikin hukum rimba semua nya ngk pandang. Bulu...,yaalah satu rakyat masarakat hukum rimba ngk pandang bulu
SELAMAT DATANG ORBA,selamat orba
Salah pilih presiden awal mulanya,salah pilih presiden
