comments,cleaned_comments,sentiment,sentiment_label
presiden sudah mempelajari belum  atau hanya tanda tangan,presiden ajar tanda tangan,LABEL_1,1
Hukum seberat-beratnya para koruptor dan sita aset merugikan negara dan rakyat,hukum seberatberatnya koruptor sita aset rugi negara rakyat,LABEL_2,0
Cuma di terapkan  doang tdk di.laksanakan percuma,terap doang tdk laksana,LABEL_2,0
Blessing,blessing,LABEL_0,2
UU perampasan aset mana. Yg ada UU nekan rakyat,ampas aset nekan rakyat,LABEL_2,0
"Begitu cepatnya buat kuhap kurap disahkan tapi perampasan aset si koruptor mutar"" kayak gasing yg tak ada awal dan ujungnya.",cepat hap kurap sah ampas aset koruptor mutar gasing ujung,LABEL_2,0
Kalau pejabat itu menipu  rakyat dengan ijazah palsu misal nya .... Korupsi  semena mena dengan rakyat kecil. Apa kah kami berhak melawan...,jabat tipu rakyat ijazah palsu korupsi semena mena rakyat kah hak lawan,LABEL_2,0
Eh..malah KUHP permapadan dan pemiskinan para koruptor yang digaungkan rakyat malah ambles...gimana iniiiiiii penguasa sudah keblinger,ehmalah kuhp permapadan miskin koruptor gaung rakyat amblesgimana iniiiiiii kuasa keblinger,LABEL_2,0
KUHP s makin Ndak jelas dan menindas para pengunjuk rasa ketidak becusan pemerintah....masak kritik dianggap penghinaan nanti jadinya...aduh bisa tambah gawat nich,kuhp ndak tindas unjuk tidak becus pemerintahmasak kritik anggap hina jadinyaaduh gawat nich,LABEL_2,0
Kita harus berpikir rasional ada orang demo yg menghancurkan rputasi seseorang demi tujuan yg memanfaatkan masa bahkan menjelekan aparat presiden,pikir rasional orang demo hancur rputasi tuju manfaat jelek aparat presiden,LABEL_2,0
Difinisi penghinaan KPD presiden n pejabat negara itu spa yah ❤,fisi hina kpd presiden jabat negara spa,LABEL_2,0
"Kno hukuman Mati utk yg korupsi tidak di sah kan ??
Pasal lain buat masyrakat cepat disah kan.
Ini berat sebelah utk rakyat.",kno hukum mati utk korupsi sah pasal masyrakat cepat sah berat belah utk rakyat,LABEL_2,0
Kalo sah yg setuju gue bunuh satu2,sah tuju gue bunuh,LABEL_2,0
"Presiden sih gpp kalau pemerintah nggak mau dihina ya kerjanya jgn korupsi dong dam memihak ke rakyat
Harusnya undang2 perampasan Aset bagi koruptoryg disahkan
Jika Presiden semena 2 ke Rakyat dg KUHAP nya tinggal nunggu waktu Rakyat akan melawan balik",presiden gpp perintah nggak hina kerja jgn korupsi dam rakyat undang ampas aset koruptoryg sah presiden semena rakyat hap tinggal nunggu rakyat lawan,LABEL_2,0
Waduuh asal persetubuhan lokalisasi kena donk ???? 😂😂😂😂,waduuh tubuh lokalisasi kena donk,LABEL_2,0
UU HUKUMAN MATI BAGI KORUPTOR DAN PERAMPASAN HARTA DISAHKAN BARU ANGKAT 5  JEMPOL,hukum mati koruptor ampas harta sah angkat jempol,LABEL_2,0
Pasal yg lebih patal merugikan negara ruu perampasan aset kok gak di sahkan.😪,pasal patal rugi negara ruu ampas aset sahkan,LABEL_1,1
Ya ini hasil yah yg memilih berdasarkan serangn fajar dulu..,hasil pilih dasar serangn fajar,LABEL_1,1
Hal. Ini harus disosialisasikan kpda masyarakat seluduhnya jngan hbya jdi konsumsi dan pjabat saja kuhp ini di informasikan biar rakyat tau  semmua sebarkan edaran leaflet buku unguk semua lapisan masyarakat sekolah universitas dan fasilitas umum lainya bandara dumah sakit tempat ibadah bioskop mall super market intansi pmeeintah jngan pelit kluarkan dananya untuk sosislisasinya,sosialisasi kpda masyarakat seluduhnya jngan hbya jdi konsumsi pjabat kuhp informasi biar rakyat tau semmua sebar edar leaflet buku unguk lapis masyarakat sekolah universitas fasilitas lai bandara dumah sakit ibadah bioskop mall super market intansi pmeeintah jngan pelit kluarkan dana sosislisasinya,LABEL_2,0
Koropsi dn oligarki bebas di negeri ini,koropsi oligarki bebas negeri,LABEL_2,0
Bubarkan dpr dn pulisi bikin pulisi kerja kontrak aja biar beban rakyat berkurang .banyak nya uu bikin kaya pulisi di setiap kasus pulisi banjir uang masuk kantong pribadi,bubar dpr pulisi pulisi kerja kontrak biar beban rakyat kurang kaya pulisi pulisi banjir uang masuk kantong pribadi,LABEL_2,0
"DPR SEMENA-MENA bukan fokus pada kualitas rekurmen, dan regulasi aturan satu keluarga tidak boleh duduk di satu instansi Lembaga pemerintahan, malah rakyat terus yang ditekan. 

Pemerintahan tinggal tunggu jatuhnya, entah karena desakan masa, atau kegagalan ekonomi.
🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻",dpr semenamena fokus kualitas rekurmen regulasi atur keluarga duduk instansi lembaga perintah rakyat tekan perintah tinggal tunggu jatuh desa gagal ekonomi,LABEL_1,1
"Ini NEGARA demokrasi ,bebas mengkritik pemerintah,kok malah dibungkam Deng UUD.kayaknya Indonesia bubar ,berkeping-keping.kalau dilawan .Indonesia bubar.karena bukan lagi negara demokrasi..sedangkan rakyat butuh negara demokrasi",negara demokrasi bebas kritik pemerintahkok bungkam deng uudkayaknya indonesia bubar berkepingkepingkalau lawan indonesia bubarkarena negara demokrasisedangkan rakyat butuh negara demokrasi,LABEL_2,0
"yg saya setuju . ada sex di luar nikah ada hukumnya. biat kasus perselingkuhan beraqir pembunuhan dll ada rem nya.. mikir 2 x, dan para remaja bisa mengurangi kebiasaan sex bebas. ZINA",tuju sex nikah hukum biat selingkuh beraqir bunuh dll rem mikir remaja kurang biasa sex bebas zina,LABEL_2,0
Orde baru kembali berkuasa ..hukum hanya buat rakyat kecil ..pejabat bebas melanggar hukum,orde kuasa hukum rakyat jabat bebas langgar hukum,LABEL_1,1
"SETUJU BANGET
KUHP CERDAS ,DEMI STABILITAS NEGARA.",tuju kuhp cerdas stabilitas negara,LABEL_1,1
Kok bisa mulut rakyatnya di bekap... parah negeri ini,mulut rakyat bekap parah negeri,LABEL_2,0
Uud yg hrs cpt d sahkan uud perampasan aset korutor itu br uud yg bs secara nasional d trima krn itu harapan rkyt seluruh indonesia,uud hrs cpt sahkan uud ampas aset korutor uud nasional trima krn harap rkyt indonesia,LABEL_1,1
Uud ini ngaco klo menghina itu kpd sp sj ttp tdk baik tdk ad bd nya rkyt dan pejabat klo d hina krn manusia itu sm d hadapan tuhan nya berdiri sm tggi duduk sm rendah nya tdk bs d bd kan pjbt dan rkyt klo d hina ttp sj itu namanya pitnah klo pejabat hrs d kritik o ad uud ini nanti kritikan bs d anggap penghinaan bahaya uud ini bs bnyk yg d penjara,uud ngaco klo hina kpd ttp tdk tdk rkyt jabat klo hina krn manusia hadap tuhan diri tggi duduk rendah tdk pjbt rkyt klo hina ttp nama pitnah klo jabat hrs kritik uud kritik anggap hina bahaya uud bnyk penjara,LABEL_2,0
Waa....kok undang undang ditujukan untuk Rakyat bawa saja... Ini tidak adil... Mereka harus sadar bahwa negara yang di amanahkan oleh Para pejuang pendiri bangsa ini ditujukan untuk keadilan sosial bagi seluruh rakyat Indonesia sebagai pemilik Negara sesuai      Pancasila dan UUD 45 yang asli...bukan untuk membelenggu rakyat dengan banyaknya aturan ....🤷❤️🇮🇩,waakok undang undang rakyat bawa adil sadar negara amanah juang diri bangsa adil sosial rakyat indonesia milik negara sesuai pancasila uud aslibukan belenggu rakyat banyak atur,LABEL_2,0
Penjajahani kata uu harus di hapuskan berarti boleh menghapus penjajahan,penjajahani hapus hapus jajah,LABEL_2,0
Bahas dong..klu korupsi 500 juta hukuman nya berapa.. klu 1M berapa hukumannya 😮,bahas dongklu korupsi juta hukum klu hukum,LABEL_2,0
SBY OTAK PELAKU YNG MENDANAI DAN MENERIMA SELURUH MAFIA KORUPTOR PROYEK HAMBALANG BLBI IKTP LAPANGAN TERBANG ILEGAL DLL HARUS DI SITA SELURUH HARTANYA DAN HUKUMAN MATI SEBAGAI SIMBOL TEGAKNYA HUKUM DI NKRI,sby otak laku yng dana terima mafia koruptor proyek hambalang blbi iktp lapang terbang ilegal dll sita harta hukum mati simbol tegak hukum nkri,LABEL_2,0
MAFIA KORUPTOR YNG MERAJA LELA DI SELURUH SEKTOR PEMERINTAH DAN SWASTA DAN PENDATANG HARAM YAHUDI HADRAMAUT YAMAN SELATAN YNG BERTOPENGKAN AGAMA ISLAM YNG DI SESATKAN DAN CUCU NABI PALSU YNG SUDAH MENYUSUP KASUK KE PBNU MENUJU NKRI BUBAR  HARUS LEBIH LICIK LEBIH BUSUK LEBIH BANGSAT DARI PENJAJAH .MENUJU NKRI BUBAR. JELAS SEKALI,mafia koruptor yng raja lela sektor perintah swasta datang haram yahudi hadramaut yaman selatan yng topeng agama islam yng sesat cucu nabi palsu yng susup kasuk pbnu nkri bubar licik busuk bangsat jajah nkri bubar,LABEL_2,0
Meheningkan cipta😢,meheningkan cipta,LABEL_0,2
Intinya kita dibungkam oleh pemerintah .rakyat tidak boleh mengkritisi pejabat atau pemerintahan,inti bungkam perintah rakyat kritisi jabat perintah,LABEL_2,0
Pusing kenapa ketua DPR tidak segera sahkan UU perampasan aset aset koruptor.....,pusing ketua dpr sahkan ampas aset aset koruptor,LABEL_2,0
Undang undang untuk rakyat aja cepat...UU untuk koruptor mana...?apa pemerintah menunggu rakyat buat hukum sendiri juga!,undang undang rakyat cepatuu koruptor manaapa perintah tunggu rakyat hukum,LABEL_2,0
Bismillah saja dlu... Siapa tau NERAKA LUAS buat Pemerintah Indonesia,bismillah dlu tau neraka luas perintah indonesia,LABEL_2,0
Hukum indonesia tambah parah.untung aku emggak nyoblos .,hukum indonesia parahuntung emggak nyoblos,LABEL_2,0
Payah payah hukum indonesia,payah payah hukum indonesia,LABEL_2,0
"Yang paling dipandang tidak masuk akal oleh banyak pihak adalah:
✔️ Negara ikut mengatur moral pribadi (hubungan intim, hidup bersama)
✔️ Pembatasan hak berekspresi (penghinaan pejabat, demo)
✔️ Batasan edukasi kesehatan (pencegah kehamilan/anak)
✔️ Pengurangan ancaman hukum terhadap koruptor
Semua ini dianggap berpotensi merusak kebebasan sipil, privasi, dan penegakan keadilan jika tidak diawasi ketat.",pandang masuk akal negara atur moral pribadi hubung intim hidup batas hak ekspres hina jabat demo batas edukasi sehat cegah kehamilananak kurang ancam hukum koruptor anggap potensi rusak bebas sipil privasi tega adil awas ketat,LABEL_2,0
Se7 biar indonesia aman dan tenteram,biar indonesia aman tenteram,LABEL_0,2
Pemilu tahun mendatang serntak GOLPUT ..negeri kita ruwet kbnyakan aturan...??jngn mau lgi rakyat di bodoh.i..partai apapun.....,milu serntak golput negeri ruwet kbnyakan aturanjngn lgi rakyat bodohipartai apa,LABEL_2,0
"Segera kan kiamat ya allah... 
Negara ini.... 
Tidak ada harapan lagi",kiamat allah negara harap,LABEL_2,0
"ini jelas UU untuk membungkam suara rakyat dan mengamankan aksi kejahatan pejabat. 
Sebelum ada UU ini saja PENJAHAT2 berdasi gak ada rasa malu dan takut dg kelakuan busuknya. 
Seakan perampok dibekali oleh negara dg rompi anti peluru. 
UU ini hanya akan membuat Negara ini semakin memburuk",bungkam suara rakyat aman aksi jahat jabat jahat das malu takut laku busuk akan rampok bekal negara rompi anti peluru negara buruk,LABEL_2,0
"Kapan pemilihan anggota DPR,  rakyat Indonesia jangan lupa memilih atau tidak",pilih anggota dpr rakyat indonesia lupa pilih,LABEL_2,0
Pas cocok,pas cocok,LABEL_0,2
Kaum gruduk ... Kena Uut ga tuh wkwkwkwkw,kaum gruduk kena uut wkwkwkwkw,LABEL_2,0
Bukan nya buat aturan yg bnr ni nyari aman salut ... Ini contoh penguasa udh mulai unjuk gigi bahwa mereka yg berkuasa .. mereka lupa waktu mau jdi pejabat .. nyubah ke rakyat .. giliran udh jdi rakyat di injak injak,atur bnr nyari aman salut contoh kuasa unjuk gigi kuasa lupa jdi jabat nyubah rakyat gilir jdi rakyat injak injak,LABEL_2,0
Pemerintah cari aman kampret .. seenak jidat nya ngeluarin aturan ..kayex nya perlu di kasih paham lagi ni sama masarakat nya pemerintah ...,perintah cari aman kampret enak jidat ngeluarin atur kayex kasih paham masarakat perintah,LABEL_2,0
Rakyat Indonesia tetap miskin selamanya jika koruptor di bisa berantas,rakyat indonesia miskin koruptor berantas,LABEL_2,0
Yang di inginkan rakyat cuma satu UUD  hukuman mati bagi para koruptor,rakyat uud hukum mati koruptor,LABEL_2,0
"Ini sistem Demokrasi bukan sistem komunis,jangan jadi PKI ke 2 Rakyat juga bisa marah, kau kira teman - teman kami yang ditangkap karena demo kemarin penjahat? Bagi kami justru mereka Pahlawan Demokrasi",sistem demokrasi sistem komunisjangan pki rakyat marah kau teman teman tangkap demo kemarin jahat pahlawan demokrasi,LABEL_2,0
Hukum ngk jelas,hukum ngk,LABEL_2,0
"Buat uu receh kayak Gini cepat.buat uu HUKM mati koruptor perampasan aset TDK di buat""",receh gin cepatbuat hukm mati koruptor ampas aset tdk,LABEL_2,0
Ini baru bagus 👍,bagus,LABEL_0,2
Rakyat mana rakyat tambah menderita terus menerus.uu perampasan aset hukuman mati bagi para koruptor tidak disah2kan jg,rakyat rakyat derita menerusuu ampas aset hukum mati koruptor sah,LABEL_2,0
Fokus membangun,fokus bangun,LABEL_0,2
Hukuman perampasan aset dan mati mereka rakut untuk mensahkannya,hukum ampas aset mati rakut sah,LABEL_1,1
Tak terima di kritik rakyat maka rakyat boikot utk bayar pajak,terima kritik rakyat rakyat boikot utk bayar pajak,LABEL_2,0
"Puluhan tahun rakyat di hina dgn korupsi, emang se suci itu hukum kalian?

Suatu saat rakyat, bumi, dan tuhan yg akan memberikan panduan pembersihan terhadap kalian2 bangsa parasit.

Kmaren baru sumatra di beri cobaan, skala masih kecil, bagi tuhan, besok bisa2 seluruh pulau di beri cobaan karna ulah bangsa yg dzolim😊",puluh rakyat hina dgn korupsi suci hukum rakyat bumi tuhan pandu bersih bangsa parasit kmaren sumatra coba skala tuhan besok pulau coba ulah bangsa dzolim,LABEL_2,0
"Nikmatin saja,kan hasil pilihan kaliyan saat pemilu,gak usah banyak ngeluh",nikmatin saja hasil pilih kaliyan pemilugak ngeluh,LABEL_2,0
"Penjarakan aja semua kami yg suka mengkritik pemerintaj,biar senang kalian.. 
Bila perlu, termpatkan kami di suatu pulau, terus kalian minta saja bom nuklir sama om putin, kalian tembak kan saja nuklir itu ketempat di mana kami kumpul para penglritik pejabat negara.. 
Capek kali kalian kerja nya hanya rombak2 KUHP.. 
Biar senang kalian semua sesama pengkhianat.",penjara suka kritik pemerintajbiar senang termpatkan pulau bom nuklir putin tembak nuklir tempat kumpul penglritik jabat negara capek kerja rombak kuhp biar senang khianat,LABEL_2,0
Saya berharap indonesia akan seperti nepal. Ayo kapan demo,harap indonesia nepal ayo demo,LABEL_1,1
"Ini Baru hebat,,,",hebat,LABEL_0,2
Makin gila aja ni pemerintah.NEPALKAN,gila pemerintahnepalkan,LABEL_2,0
Mantap 🎉🎉🎉,mantap,LABEL_0,2
"Kaya hidup di jaman Kerajaan, diktator, DAN LAMA2 NANTI AKAN MELAHIRKAN OPOSISI BERSEJATA",kaya hidup jaman raja diktator lahir oposisi bersejata,LABEL_2,0
DPR keparat,dpr keparat,LABEL_2,0
Hukum dinegara ini makin kesini makin mirip hukum negara komunis.,hukum negara kesini hukum negara komunis,LABEL_2,0
Trus koruptor kpn di syahkan hukum mati pokoknya kita warga kecil di tindes trus mn hukum pjbt2 GK adil,trus koruptor kpn syah hukum mati pokok warga tindes trus hukum pjbt adil,LABEL_2,0
🤣🤣 stressssss sudah pasal²  ini🤦‍♂️  perzinahan penghuni neraka jadi sepi pak🤣,stressssss pasal perzinahan huni neraka sepi,LABEL_2,0
Demokrasi di batasi model opo Iki negoro,demokrasi batas model opo iki negoro,LABEL_2,0
"gaono seng penting kanggo rakyat
uu untuk pemerintah saja",gaono seng kanggo rakyat perintah,LABEL_2,0
Kemanusian rakyat udah dianggap sampah tak berguna,kemanusian rakyat anggap sampah guna,LABEL_2,0
Rakyat sudah di berakin dengan ada nya ini,rakyat berakin,LABEL_2,0
"Parah ini, rakyat yg minta keadilan, bisa bisa nya rakyat yg di adili... Ya... Robbi... Musnah kan lah kezholiman di negri ini ya Robbi.... aamiin...",parah rakyat adil rakyat adil robbi musnah kezholiman negri robbi aamiin,LABEL_2,0
Kok Indonesia diginiin mereka rakyat dianggap apa oleh dpr mereka sepertinya maksa rakyat menetapkan mereka  klo gak negara ni mereka jadi kan kayak Nepal ya pak parbowo anda knp kok menyerang rakyat untuk gamblang menyampaikan suara anda bungkam rakyat kali ini pak taubat percaya sama anda rusak sudah semua kepercayaan,indonesia diginiin rakyat anggap dpr maksa rakyat tetap klo negara nepal parbowo knp serang rakyat gamblang suara bungkam rakyat taubat percaya rusak percaya,LABEL_2,0
Kasus yang ringan malahan cepat disahkan...bagian koruptor boro2 di sahkan😂,ringan cepat disahkanbagian koruptor boro sahkan,LABEL_2,0
"Itumah perisai buat para pejabat......
Biar engga di usik",itumah perisai jabat biar usik,LABEL_2,0
Kalau para koruptor bagaimana,koruptor,LABEL_2,0
Tunggu.sa.atmu.di.nepalkan,tunggusaatmudinepalkan,LABEL_1,1
Udang2 perampasan aset mn PK Prabowo mn janji mu jgn berpura2 lupa y giliran masyarakat udang2 cepat masyaallah bgt bejat y kaluan jd pemimpin ygilih kaluan tu masyarakat yg paling kecil kompateh kaluan datangi berikan janji yg indah muluk2hebat EMG indo esia,udang ampas aset prabowo janji jgn pura lupa gilir masyarakat udang cepat masyaallah bejat kaluan pimpin ygilih kaluan masyarakat kompateh kaluan datang janji indah mulukhebat emg indo esia,LABEL_2,0
Setuju biar tau sopan santun,tuju biar tau sopan santun,LABEL_1,1
Kl masyarakat salah cepat ditangkapin aj PK kl korupsi dilindungi bahkan dibebaskan Krn udh berjasa PD negara yg digarong y SMG masyarakat cepat mati smua SMG penegak hukum cepat menangkap org kecil org besar   dilindungi,masyarakat salah cepat ditangkapin korupsi lindung bebas krn jasa negara garong smg masyarakat cepat mati smua smg tegak hukum cepat tangkap org org lindung,LABEL_2,0
Fufufafa bener kn..,fufufafa bener,LABEL_0,2
"kuhp ini hanya melindungi , instansi dan orang tertentu , tidak berpihak ke masyarakat kecil .",kuhp lindung instansi orang pihak masyarakat,LABEL_1,1
Awal tahun yg nurukk,nurukk,LABEL_0,2
Udah tak ada guna nya uud itu untiuk rakyat. Itu semua uud untuk pemerinth agar kebal hukum. Mari semua rakyat kita kembali ke 98. Aja.,uud untiuk rakyat uud pemerinth kebal hukum mari rakyat,LABEL_2,0
Seharusnya di terapkan hukuman mati untk para koruptor.,terap hukum mati untk koruptor,LABEL_2,0
Cepet banget klo bikin undang2 terhadap rakyat...tp undang2 terhadap pajabat plempem gak di bahas...coba klo bahas kenaikan anggaran gaji pasti satu malam selesai....mereka msyoritas beragama tp gak takut sama Tuhanya,cepet klo undang rakyattp undang pajabat plempem bahascoba klo bahas naik anggar gaji malam selesaimereka msyoritas agama takut tuhanya,LABEL_2,0
UU Perampasan aset wuy,ampas aset wuy,LABEL_2,0
DPR di kasih napas malah ngelunjak.,dpr kasih napas ngelunjak,LABEL_2,0
Sebentar lagi bocah lapar ga boleh nangis. Namanya bocah ya yg paling penting kebutuhannya dong.,sebentar bocah lapar nang nama bocah butuh,LABEL_2,0
Peodalisme,peodalisme,LABEL_2,0
"Tangkap roy suryo,dr tipa,rismon",tangkap roy suryodr tiparismon,LABEL_1,1
"Wadaw KUHP isinya perlindungan untuk pemerintahan saja ya,untuk penyitaan aset juga hukuman buat para koruptor mana ya 🤣🤣🤣🤣🤣🤣🤣😁😁😁🤭🤭🤭",wadaw kuhp isi lindung perintah yauntuk sita aset hukum koruptor,LABEL_2,0
Walaupun belum tau isinya psal demi pasal  yg pasti  tuk mengamankan  pra pejabat dari keserakahan hidupnya  dengan mudah  menindas rakyat dg mengatas namakan hukum dn keadilan,tau isi psal pasal tuk aman pra jabat serakah hidup mudah tindas rakyat atas nama hukum adil,LABEL_2,0
Cari aman😮,cari aman,LABEL_0,2
Perang deui wae nyeleu kiye mahhh...!!!??🙄🙄,perang deui wae nyeleu kiye mahhh,LABEL_2,0
Penjara akan di penuhi orang yg kritis kepada pemerintah .,penjara penuh orang kritis perintah,LABEL_2,0
"benerkan kata abah Anies..
Diktaktor 😂. ok gass ok gass ok gass. 
kasian Pendukung nya. jangan nyesel dong 😂",benerkan abah anies diktaktor gass gass gass kasi dukung nyesel,LABEL_2,0
apakah ini korea utara?😂,korea utara,LABEL_1,1
Sy mah org awam bagus lah biar ga ada yang menghina kepala negara,mah org awam bagus biar hina kepala negara,LABEL_2,0
"Mana gen z indonesia saat ini,,,",gen indonesia,LABEL_0,2
"Pasal bulsit semua,,,😂😂😂😂,rakyat semakin di tekan dgn pasal ngak jelas,pasal perampasan  aset hilang tak terurus,,,",pasal bulsit semuarakyat tekan dgn pasal ngak jelaspasal ampas aset hilang urus,LABEL_2,0
"KUHP NGUMPULIN PARA PIDANA, PRIBUMI /RAKYAT MUAAK DENGAN KUHP ITU.",kuhp ngumpulin pidana pribumi rakyat muaak kuhp,LABEL_2,0
RUU KUHAP untuk pejabat sudah ada atau belum ya?,ruu hap jabat,LABEL_2,0
"Pribumi/Rakyat butuh  UU perampasan  Aset negara bukan ngumpulin para pidana ,",pribumirakyat butuh ampas aset negara ngumpulin pidana,LABEL_2,0
UU kyk masa orba bapak mertua ndak mau dihina 😅😅,orba mertua ndak hina,LABEL_0,2
Rakyat harus menerapkan pasal hukum rimba...buat para penjilat negara...hukum hukum dan pasal hanya untuk membela perut nya pemerintah z,rakyat terap pasal hukum rimbabuat jilat negarahukum hukum pasal bela perut perintah,LABEL_2,0
"Kita harus menggunakan lawan kata agar tidak kelihatan penghinaan, rakyatpun paham jurus lawan kata.",lawan hina rakyat paham jurus lawan,LABEL_2,0
Mana UUD perampasan aset bagi KORUPTOR!!,uud ampas aset koruptor,LABEL_2,0
Apa2 mahal kerja sehari tdk cukup untuk sehari   .,mahal kerja hari tdk hari,LABEL_2,0
Kaanya akan ada badai besar niij,kaanya badai niij,LABEL_2,0
Dg KUHP yg baru berarti tindakan apapun yg dilakun presiden dan lembaga negara adl sama dg malaikat yg tdk ada salahnya walau membuat rakyat memderita dan sengsara,kuhp tindak apa dilakun presiden lembaga negara adl malaikat tdk salah rakyat memderita sengsara,LABEL_2,0
yg bikin undang2 sekarep dewek bae siapa yg bikinya,undang sekarep dewek bae bik,LABEL_0,2
"Ayok kita turun ke jalan,kita kasih tau pemerintah Konoha kalau masyarakat dah marah",ayok turun jalankita kasih tau perintah konoha masyarakat marah,LABEL_2,0
Uu hukuman mati bagi koruptor kenapa tidak disahkan,hukum mati koruptor sah,LABEL_2,0
"Undang 2 piraun sudah jalan , tapi undang undang korupsi di diamkan udah Salim",undang piraun jalan undang undang korupsi diam salim,LABEL_2,0
UU PERAMPASAN ASET KEMANA GK TERCANTUM??,ampas aset mana cantum,LABEL_2,0
"Pemerintah bisanya me nakut2in Rakyat , bukan mensekahterakan Rakyat .
Bkn UU yg si syahkan tapi Aqlak para pejabat perbaiki dulu biar Rakyat mengikutinya dengan ikhlas .",perintah bisa nakutin rakyat mensekahterakan rakyat bkn syah aqlak jabat baik biar rakyat ikut ikhlas,LABEL_2,0
"😂😂😂😂
Kok gak ada KUHP PERAMPASAN ASET bagi KORUPTOR.
Hanya RAKYAT kecil yg akan jadi sasaran",kuhp ampas aset koruptor rakyat sasar,LABEL_2,0
"Pasal 301 Itu pidananya hanya yg berkaitan dg pasal 300 tentang penghasutan terkait agama/kepercayaan.., jadi bukan secara umum juga broo.., Baca baik2 dulu pasalnya mas penyiar 🙏",pasal pidana kait pasal hasut kait agamakepercayaan broo baca pasal siar,LABEL_2,0
"balik lg kejaman baheula, jadul cuy",kejam baheula jadul cuy,LABEL_2,0
Mending bgus jmne PK SBY jauhhhhhh😂😂😂😂😂,mending bgus jmne sby jauhhhhhh,LABEL_2,0
"suruh diam aj, ga boleh kritik, tidur aj yg tenang sampai mati",suruh diam kritik tidur tenang mati,LABEL_2,0
Kenapa pasal perampasam aset tdk kunjung di sahkan semakin kesini negara kok otoriter,pasal perampasam aset tdk kunjung sahkan kesini negara otoriter,LABEL_2,0
tangkap slank si sipit bimbim dan kk juga si gundul dongok panji ....penjarakan!!,tangkap slank sipit bimbim gundul dongok panji penjara,LABEL_2,0
